source,destination,weight,specificyear
Diptera,Australia,11,1935
Diptera,Austria (Österreich),5,1932
Diptera,Bermuda,2,1911
Diptera,Brazil (Brasil),8,1930
Diptera,Canada,22,1918
Diptera,Colombia,14,1930
Diptera,Congo,1,1929
Diptera,Costa Rica,97,1914
Diptera,Croatia,1,1930
Diptera,Cuba,2,1922
Diptera,Egypt,3,1946
Diptera,Germany (Deutschland),4,1929
Diptera,Greenland,7,1930
Diptera,Guatemala,2,1930
Diptera,Guiana (British Guiana),6,1912
Diptera,Guyana (Dutch Guiana),4,1930
Diptera,Honduras,7,1926
Diptera,India (Bharat),2,1934
Diptera,Jamaica,1,1916
Diptera,Japan (Nippon),1,1941
Diptera,Kenya,1,1947
Diptera,Madagascar,45,1927
Diptera,Mexico,12,1941
Diptera,Myanmar [=Burma],1,1917
Diptera,New Guinea,6,1929
Diptera,Nicaragua,1,1923
Diptera,Panama,4,1962
Diptera,Paraguay,3,1929
Diptera,Peru,13,""
Diptera,Philippines,1,1948
Diptera,Sri Lanka (Ceylon),1,1943
Diptera,Taiwan (Formosa),11,1929
Diptera,Tibet,1,1934
Diptera,Turkey,1,1934
Diptera,United States,536,1918
Diptera,Venezuela,2,1926
Diptera,Vietnam,2,1929
Ephemeroptera,Peru,2,1994
Ephemeroptera,United States,5,""
Geophilomorpha,"",2,""
Geophilomorpha,United States,7,""
Hemiptera,"",1,1870
Hemiptera,Colombia,5,1925
Hemiptera,Cuba,4,1863
Hemiptera,Trinidad,1,1925
Hemiptera,United States,13,1853[1854]
Hymenoptera,"",448,1896
Hymenoptera,"""N. E. Africa""",5,1896
Hymenoptera,Australia,1,1887
Hymenoptera,Borneo,4,1938
Hymenoptera,Brazil (Brasil),36,1942
Hymenoptera,Canada,176,1868
Hymenoptera,Costa Rica,12,1920
Hymenoptera,Cuba,161,1863
Hymenoptera,Dominican Republic (San Domingo),2,1947
Hymenoptera,Greenland,3,1892
Hymenoptera,Guatemala,1,1871
Hymenoptera,Guiana (British Guiana),2,1942
Hymenoptera,Haiti (Hayti),2,1914
Hymenoptera,Jamaica,10,1891
Hymenoptera,Kenya,1,1896
Hymenoptera,Mexico,507,1867
Hymenoptera,North America,1,1888
Hymenoptera,Northeast Africa,2,1896
Hymenoptera,Panama,1,1879
Hymenoptera,Philippines,1,1938
Hymenoptera,Puerto Rico,5,1912
Hymenoptera,South Africa,1,1886
Hymenoptera,Syria,1,1882
Hymenoptera,Trinidad,2,1941
Hymenoptera,United States,3151,1862
Hymenoptera,Venezuela,4,1942
Hymenoptera,West Indies,1,1899
Lepidoptera,"",244,""
Lepidoptera,Bolivia,6,1927
Lepidoptera,Brazil (Brasil),10,1916
Lepidoptera,Canada,21,1897
Lepidoptera,Colombia,5,1920
Lepidoptera,Costa Rica,1,1931
Lepidoptera,Cuba,76,1865
Lepidoptera,Dominican Republic (San Domingo),2,1920
Lepidoptera,Ecuador,15,1920
Lepidoptera,French Guiana,1,""
Lepidoptera,Greenland,4,1892
Lepidoptera,Guiana (British Guiana),4,1926
Lepidoptera,Guyana (Dutch Guiana),4,1931
Lepidoptera,Haiti (Hayti),3,1889
Lepidoptera,Honduras,2,1920
Lepidoptera,Jamaica,2,1920
Lepidoptera,Martinique,1,1920
Lepidoptera,Mexico,5,1866
Lepidoptera,New Hebrides,1,1903
Lepidoptera,Nicaragua,1,1923
Lepidoptera,Panama,2,1920
Lepidoptera,Peru,1,1920
Lepidoptera,United States,388,1866
Lepidoptera,USA,1,1866
Lepidoptera,Venezuela,1,1926
Mantodea,"",9,1901
Mantodea,Argentina,2,1913
Mantodea,Australia,1,1920
Mantodea,Borneo,2,1920
Mantodea,Brazil (Brasil),6,1916
Mantodea,Cameroon [=Kamerun?],1,1912
Mantodea,China,1,1937
Mantodea,Colombia,4,1919
Mantodea,Comoro Islands,1,""
Mantodea,Congo,5,1949
Mantodea,Costa Rica,7,1935
Mantodea,Ecuador,2,1924
Mantodea,French Guiana,6,""
Mantodea,Guatemala,1,1935
Mantodea,Guiana (British Guiana),1,1906
Mantodea,Jamaica,1,1938
Mantodea,Kenya,1,1901
Mantodea,Liberia,1,1949
Mantodea,Madagascar,1,1989
Mantodea,Malaysia,1,1920
Mantodea,Mexico,7,1922
Mantodea,Moluccas,1,1920
Mantodea,New Guinea,1,1920
Mantodea,Nicaragua,1,1904
Mantodea,Panama,2,1951
Mantodea,Paraguay,4,1927
Mantodea,Peru,1,1911
Mantodea,Philippines,4,1920
Mantodea,Sierra Leone,1,1949
Mantodea,Singapore,1,1920
Mantodea,Somalia,1,1911
Mantodea,South Africa,2,1904
Mantodea,Uganda,1,1912
Mantodea,United States,11,1935
Mantodea,Venezuela,2,1911
Mantodea,Vietnam,1,1920
