source,destination,weight,year
Hymenoptera,Fox,65,1899
Hymenoptera,Fox ?,1,""
Hymenoptera,Franklin,1,""
Hymenoptera,Franklin,1,1911
Hymenoptera,Franklin,4,1913
Hymenoptera,Frison,1,1923
Hymenoptera,Gillaspy,1,""
Hymenoptera,Graenicher,5,1903
Hymenoptera,Graenicher,3,1904
Hymenoptera,Haldeman,1,""
Hymenoptera,Harrington,1,1896
Hymenoptera,Hertzog,1,""
Hymenoptera,Hooker,5,1912
Hymenoptera,Hopper,7,""
Hymenoptera,Huber,1,1976
Hymenoptera,Hurd & Moore,1,""
Hymenoptera,Janjic & Packer,1,""
Hymenoptera,Kincaid,4,""
Hymenoptera,Kinsey,1,""
Hymenoptera,Kinsey,5,1920
Hymenoptera,Kinsey,24,1922
Hymenoptera,Kinsey,1,1936
Hymenoptera,Kinsey & Ayers,1,1922
Hymenoptera,Kohl,1,""
Hymenoptera,Krombein,9,""
Hymenoptera,La Berge & Ribble,1,1972
Hymenoptera,LaBerge,1,1944
Hymenoptera,Lewis,1,1897
Hymenoptera,Linnaeus,1,""
Hymenoptera,Linsley,3,1941
Hymenoptera,Linsley,2,1943
Hymenoptera,MacGillivray,2,""
Hymenoptera,MacGillivray,1,1900
Hymenoptera,Mann,2,""
Hymenoptera,Mao & Muesebeck,3,""
Hymenoptera,Marlatt,1,1892
Hymenoptera,Marlatt,1,1895
Hymenoptera,Marlatt,36,1896
Hymenoptera,McFarland,2,1888
Hymenoptera,Melander,3,""
Hymenoptera,Merrill,1,1915
Hymenoptera,Michener,1,""
Hymenoptera,Michener,1,1939
Hymenoptera,Mickel,18,""
Hymenoptera,Mickel & Krombein,1,1942
Hymenoptera,Mitchell,2,1926
Hymenoptera,Mitchell,3,1928[1929]
Hymenoptera,Mitchell,38,1930
Hymenoptera,Mitchell,6,1934
Hymenoptera,Mitchell,1,1935
Hymenoptera,Mitchell,1,1937
Hymenoptera,Mitchell,2,1960
Hymenoptera,Mitchell,1,[1928]1929
Hymenoptera,Murray,1,""
Hymenoptera,Norton,16,""
Hymenoptera,Norton,1,1860
Hymenoptera,Norton,4,1861
Hymenoptera,Norton,11,1862
Hymenoptera,Norton,1,1863
Hymenoptera,Norton,21,1864
Hymenoptera,Norton,1,1865
Hymenoptera,Norton,33,1867
Hymenoptera,Norton,11,1868
Hymenoptera,Norton,15,1869
Hymenoptera,Norton,17,1872
Hymenoptera,Norton,8,1879
Hymenoptera,Packard,1,""
Hymenoptera,Packard,9,1866
Hymenoptera,Packard,32,1867
Hymenoptera,Packard,1,1877
Hymenoptera,Packard,2,1881
Hymenoptera,Parker,1,""
Hymenoptera,Parker,3,1917
Hymenoptera,Pate,22,""
Hymenoptera,Pate,2,1936
Hymenoptera,Pate,7,1937
Hymenoptera,Pate,12,1938
Hymenoptera,Pate,13,1939
Hymenoptera,Pate,22,1940
Hymenoptera,Pate,4,1941
Hymenoptera,Pate,7,1942
Hymenoptera,Pate,13,1943
Hymenoptera,Pate,3,1944
Hymenoptera,Pate,2,1946
Hymenoptera,Pate,12,1947
Hymenoptera,Pate,1,1948
Hymenoptera,Patton,2,""
Hymenoptera,Patton,4,1879
Hymenoptera,Patton,1,1881
Hymenoptera,Porter,1,""
Hymenoptera,Pratt,3,""
Hymenoptera,Riegel,4,""
Hymenoptera,Riley,1,""
Hymenoptera,Riley & Bassett,1,1900
Hymenoptera,Roberts,1,""
Hymenoptera,Robertson,15,""
Hymenoptera,Robertson,10,1889
Hymenoptera,Robertson,9,1890
Hymenoptera,Robertson,1,1892
Hymenoptera,Roger,1,""
Hymenoptera,Rohwer,2,""
Hymenoptera,Saussure,1,""
Hymenoptera,Say,7,""
Hymenoptera,Schuster,3,""
Hymenoptera,Schwarz,3,""
Hymenoptera,Scullen,2,""
Hymenoptera,Shenefelt,2,""
Hymenoptera,Skinner,1,1906
Hymenoptera,Smith,1,""
Hymenoptera,"Smith, E.A.",1,1879
Hymenoptera,Townes,10,""
Hymenoptera,Vachal,1,""
Hymenoptera,Viereck,20,""
Hymenoptera,Viereck,1,1898
Hymenoptera,Viereck,3,1901
Hymenoptera,Viereck,13,1902
Hymenoptera,Viereck,7,1902[1903]
Hymenoptera,Viereck,69,1903
Hymenoptera,Viereck,79,1904
Hymenoptera,Viereck,6,1905
Hymenoptera,Viereck,13,1907
Hymenoptera,Viereck,3,1909
Hymenoptera,Viereck,33,1916[1917]
Hymenoptera,Viereck,37,1917
Hymenoptera,Viereck,1,1920
Hymenoptera,Viereck,3,1922
Hymenoptera,Viereck & Cockerell,3,""
Hymenoptera,Viereck & Cockerell,20,1904
Hymenoptera,Viereck & Cockerell,7,1914
Hymenoptera,Weed,1,1887
Hymenoptera,Weed,3,1888
Hymenoptera,Weld,1,""
Hymenoptera,Weld,1,1921
Hymenoptera,Wheeler,1,1937
Hymenoptera,Wheeler & Mann,2,""
Hymenoptera,Wheeler & Mann,2,1914
Lepidoptera,Aaron,2,1884
Lepidoptera,Bell,4,""
Lepidoptera,Blake,1,""
Lepidoptera,Blake,1,1863
Lepidoptera,Blake,1,1865
Lepidoptera,Braun,1,1948
Lepidoptera,Braun,3,1963
Lepidoptera,Braun,1,1972
Lepidoptera,Brower,1,1941
Lepidoptera,Bruce,1,1901
Lepidoptera,Cadbury,1,1931
Lepidoptera,Cadbury,1,1937
Lepidoptera,Cary,1,""
Lepidoptera,Chambers,2,1872
Lepidoptera,Clemens,36,1859
Lepidoptera,Clemens,125,1860
Lepidoptera,Clemens,1,1861
Lepidoptera,Clemens,9,1862
Lepidoptera,Clemens,34,1863
Lepidoptera,Clemens,48,1864
Lepidoptera,Clemens,26,1865
Lepidoptera,Coxey,1,""
Lepidoptera,Darlington,4,1949
Lepidoptera,Edwards,1,""
Lepidoptera,Edwards,1,1875
Lepidoptera,Edwards,1,1881
Lepidoptera,"Edwards, W.H.",1,1877
Lepidoptera,Fernald,1,""
Lepidoptera,Fernald,1,1879
Lepidoptera,Fernald,1,1894
Lepidoptera,Fernald,1,1898
Lepidoptera,Fox,1,""
Lepidoptera,Fox,4,1941
Lepidoptera,Grossbeck,6,1908
Lepidoptera,Grote,1,""
Lepidoptera,Grote,1,1862
Lepidoptera,Grote,13,1863
Lepidoptera,Grote,29,1864
Lepidoptera,Grote,31,1865
Lepidoptera,Grote,6,1866
Lepidoptera,Grote,7,1867
Lepidoptera,Grote,2,1871
