Year,Taxon,Collector,weight
1933,Phasmatodea,Rehn & Rehn,3
1934,Coleoptera,Blaisdell,1
1934,Coleoptera,Maydell,4
1934,Diptera,Bromley,1
1934,Diptera,Cresson,12
1934,Diptera,Huckett,1
1934,Hymenoptera,Mitchell,6
1934,Orthoptera,Hebard,9
1934,Orthoptera,Rehn & Rehn,9
1934,Phasmatodea,Hebard,2
1935,Blattodea,Hebard,2
1935,Coleoptera,Valentine,1
1935,Diptera,Brennan,1
1935,Diptera,Cresson,12
1935,Diptera,Hull,1
1935,Hymenoptera,Mitchell,1
1935,Mantodea,Hebard,1
1935,Mantodea,Rehn,7
1935,Orthoptera,Hebard,22
1936,Dermaptera,Rehn,2
1936,Diptera,Cresson,5
1936,Hymenoptera,Kinsey,1
1936,Hymenoptera,Pate,2
1936,Orthoptera,Hebard,18
1936,Orthoptera,Hubbell,14
1936,Orthoptera,Rehn,2
1936,Orthoptera,Rehn & Rehn,1
1937,Blattodea,Rehn,14
1937,Hymenoptera,Mitchell,1
1937,Hymenoptera,Pate,7
1937,Hymenoptera,Wheeler,1
1937,Lepidoptera,Cadbury,1
1937,Mantodea,Tinkham,1
1937,Orthoptera,Hebard,7
1937,Orthoptera,Rehn,7
1937,Orthoptera,Roberts,11
1937,Phasmatodea,Hebard,2
1937,Phasmatodea,"Rehn, J.W.H.",1
1938,Blattodea,Bei-Bienko,1
1938,Diptera,Cresson,4
1938,Diptera,Fisher,8
1938,Hymenoptera,Pate,12
1938,Mantodea,Rehn & Hebard,1
1938,Orthoptera,Rehn,6
1938,Orthoptera,Rehn & Hebard,2
1938,Orthoptera,Roberts,1
1938,Phasmatodea,Rehn,1
1938,Phasmatodea,Rehn & Hebard,5
1938,Phasmatodea,Rehn & Rehn,15
1938,Phasmatodea,"Rehn, J.W.H.",1
1939,Diptera,Cresson,2
1939,Diptera,Fisher,12
1939,Diptera,Huckett,11
1939,Diptera,James,6
1939,Hymenoptera,Michener,1
1939,Hymenoptera,Pate,13
1939,Lepidoptera,Williams & Bell,4
1939,Neuroptera,Banks,2
1939,Neuroptera,Rehn,2
1939,Orthoptera,Hebard,7
1939,Orthoptera,Rehn,11
1939,Orthoptera,Rehn & Rehn,4
1939,Orthoptera,Strohecker,1
1939,Orthoptera,Tinkham,2
1940,Coleoptera,Green,1
1940,Diptera,Alexander,1
1940,Diptera,Cresson,16
1940,Diptera,Fisher,3
1940,Diptera,Hull,21
1940,Hymenoptera,Pate,22
1940,Orthoptera,Rehn,6
1940,Orthoptera,Rehn & Rehn,3
1940,Phasmatodea,"Rehn, J.W.H.",1
1941,Coleoptera,Dillon & Dillon,5
1941,Diptera,Alexander,1
1941,Diptera,Cresson,7
1941,Diptera,Fisher,5
1941,Diptera,James,1
1941,Hymenoptera,Banks,8
1941,Hymenoptera,Linsley,3
1941,Hymenoptera,Pate,4
1941,Lepidoptera,Brower,1
1941,Lepidoptera,Fox,4
1941,Lepidoptera,Hayward,6
1941,Mantodea,Rehn,1
1941,Orthoptera,Hebard,3
1941,Orthoptera,Rehn,6
1941,Orthoptera,Roberts,1
1941,Trichoptera,Ross,2
1942,Diplopoda,Causey,2
1942,Diptera,Bromley,14
1942,Diptera,Cresson,6
1942,Diptera,Dalmat,1
1942,Hymenoptera,Bradley,1
1942,Hymenoptera,Mickel & Krombein,1
1942,Hymenoptera,Pate,7
1942,Orthoptera,Rehn,11
1942,Orthoptera,Rehn & Rehn,10
1942,Orthoptera,Roberts,3
1942,Polydesmida,Causey,4
1943,Blattodea,Hebard,8
1943,Diptera,Cresson,4
1943,Diptera,Rapp,5
1943,Hymenoptera,Brown,1
1943,Hymenoptera,Linsley,2
1943,Hymenoptera,Pate,13
1943,Lepidoptera,Richards,2
1943,Orthoptera,Rehn,4
1943,Orthoptera,Rehn & Rehn,1
1944,Diptera,Cresson,12
1944,Hymenoptera,LaBerge,1
1944,Hymenoptera,Pate,3
1944,Orthoptera,Rehn,13
1944,Orthoptera,Rehn & Rehn,1
1944,Orthoptera,Tinkham,4
1945,Blattodea,Rehn,2
1945,Coleoptera,Dillon & Dillon,11
1945,Orthoptera,Rehn,2
1945,Orthoptera,Rehn & Rehn,12
1946,Coleoptera,Dillon & Dillon,3
1946,Dermaptera,Rehn,4
1946,Diptera,Cresson,2
1946,Hymenoptera,Pate,2
1946,Orthoptera,Rehn,7
1947,Blattodea,Rehn,1
1947,Diptera,Cresson,1
1947,Hymenoptera,Pate,12
1947,Odonata,Calvert,3
1947,Orthoptera,Rehn,2
1947,Orthoptera,Roberts,8
1947,Phasmatodea,Rehn,6
1948,Coleoptera,Robinson,1
1948,Delete,Cresson,1
1948,Dermaptera,Rehn,1
1948,Diptera,Cresson,3
1948,Hymenoptera,Pate,1
1948,Lepidoptera,Braun,1
1948,Orthoptera,Rehn,2
1948,Orthoptera,Shane,1
1949,Coleoptera,Green,1
1949,Diptera,Cresson,3
1949,Lepidoptera,Darlington,4
1949,Mantodea,Rehn,7
1949,Odonata,Calvert,1
1950,Coleoptera,Dillon & Dillon,3
1950,Coleoptera,Green,1
1950,Coleoptera,Wallis,1
1950,Diptera,Bromley,1
1950,Diptera,Sabrosky,1
1950,Orthoptera,Rehn,7
1950,Polydesmida,Causey,4
1951,Blattodea,Rehn,2
1951,Mantodea,Rehn,3
1951,Orthoptera,Rehn,5
1952,Dermaptera,Burr,1
1952,Orthoptera,Rehn,2
1953,Orthoptera,Rehn,5
1953,Phasmatodea,Rehn,1
1954,Coleoptera,Boyle,1
1954,Diptera,Sturtevant & Wheeler,25
1955,Orthoptera,Grant,7
1955,Orthoptera,Rehn,6
1956,Orthoptera,Grant,7
1956,Orthoptera,Rehn,1
1956,Orthoptera,Rehn & Grant,2
1956,Orthoptera,Tinkham,4
1957,Coleoptera,Green,3
1957,Diptera,Laffoon,3
1957,Diptera,Oldroyd,2
1957,Diptera,Roback,36
1957,Orthoptera,Rehn,1
1958,Diptera,Roback,1
1958,Ephemeroptera,"Edmunds, Berner & Traver",1
1958,Orthoptera,Grant,3
1958,Orthoptera,Rehn,1
1958,Orthoptera,Rehn & Grant,3
1959,Collembola,Scott,1
1959,Diptera,Roback,1
1959,Orthoptera,Rehn,1
1959,Orthoptera,Rehn & Grant,6
1960,Collembola,Scott,7
1960,Diptera,Roback,11
1960,Hymenoptera,Mitchell,2
1960,Orthoptera,Grant,2
1961,Collembola,Scott,6
1961,Orthoptera,Chopard,2
1961,Orthoptera,Eades,1
1961,Orthoptera,Gurney & Eades,1
1961,Orthoptera,Rehn & Eades,3
1962,Coleoptera,Moxey,3
1962,Collembola,Scott,3
1962,Diptera,Roback,5
1962,Orthoptera,Rehn & Randell,1
1962,Orthoptera,Walker,1
1963,Coleoptera,Moxey,2
1963,Collembola,Scott,5
1963,Lepidoptera,Braun,3
1963,Orthoptera,Kevan,3
1964,Collembola,Scott,4
1964,Orthoptera,Grant,8
1964,Orthoptera,"Kevan, Akbar & Singh",2
1964,Orthoptera,"Kevan, Singh & Akbar",4
1965,Blattodea,Rehn,1
1965,Coleoptera,Moxey,1
1965,Collembola,Scott,3
1965,Diptera,Roback,1
1965,Orthoptera,Kevan,1
1965,Orthoptera,Liebermann,1
1966,Coleoptera,Green,2
1966,Diptera,Dodge,1
1966,Orthoptera,Nickle,1
1967,Orthoptera,Chopard,5
1967,Orthoptera,Nickle,1
1967,Orthoptera,Walker,2
1968,Orthoptera,Chopard,3
1968,Orthoptera,Rentz & Birchim,10
1968,Orthoptera,Willemse,1
1969,Orthoptera,Chopard,2
1969,Orthoptera,Emsley & Nickle,3
1969,Orthoptera,??,4
1969,Orthoptera,Ragge,1
1970,Orthoptera,Emsley,10
1970,Orthoptera,Huxley,3
1971,Diptera,Roback,3
1971,Orthoptera,Descamps,3
1971,Orthoptera,Jago,8
1971,Orthoptera,Rentz & Miller,2
1971,Phasmatodea,Moxey,1
1972,Hymenoptera,La Berge & Ribble,1
1972,Lepidoptera,Braun,1
1972,Orthoptera,Rentz,6
1973,Blattodea,Roth,2
1973,Blattodea,Roth & Princis,1
1973,Orthoptera,Descamps,3
1973,Orthoptera,Rentz,1
1973,Orthoptera,Rentz & Weissman,1
1973,Orthoptera,Roberts,5
1974,Orthoptera,Descamps,29
1974,Orthoptera,Kevan,3
1974,Orthoptera,Willemse,1
1975,Orthoptera,Bailey,1
1975,Orthoptera,Descamps,4
1975,Orthoptera,Rentz,2
1975,Orthoptera,Roberts,5
1976,Hymenoptera,Huber,1
1976,Orthoptera,Descamps,14
1976,Orthoptera,??,3
1976,Orthoptera,Rentz,1
1976,Orthoptera,Ronderos,1
1977,Blattodea,Roth,1
1977,Diptera,Soponis,1
1977,Ephemeroptera,Allen,1
1977,Orthoptera,Rowell & Carbonell,1
1977,Orthoptera,Willemse,3
1979,Blattodea,Roth,3
1979,Diptera,Roback,1
1979,Orthoptera,Descamps,3
1979,Orthoptera,Otte,10
1979,Orthoptera,Otte & Jago,2
1980,Diptera,Roback,1
1980,Hemiptera,DeLong,1
1981,Diptera,Roback,1
1981,Orthoptera,Rentz & Weissman,1
1982,Diptera,Roback,1
1982,Mantodea,Terra,1
1983,Diptera,Roback,5
1983,Orthoptera,Otte,4
1983,Orthoptera,Otte & Cade,12
1984,Orthoptera,Nickle,2
1984,Orthoptera,Otte,12
1984,Orthoptera,Otte & Cade,22
1985,Blattodea,Roth,1
1985,Diptera,Roback,1
1985,Orthoptera,Otte,8
1986,Blattodea,Roth,1
1986,Coleoptera,Young,1
1987,Diptera,Roback,7
1987,Orthoptera,Otte,46
1988,Diptera,Roback & Rutter,1
1988,Orthoptera,Otte,10
1988,Orthoptera,"Otte, Toms & Cade",3
1989,Dermaptera,Sakai,1
1989,Mantodea,Roy,1
1991,Blattodea,Roth,1
1993,Blattodea,Roth,1
1994,Ephemeroptera,Lugo-Ortiz & McCafferty,1
1994,Orthoptera,Otte,207
1995,Blattodea,Roth,2
1995,Orthoptera,"Perez, Dominici, Hierro & Otte",7
1996,Blattodea,Roth,3
1997,Blattodea,Roth,3
1997,Odonata,DeMarmels,1
1997,Orthoptera,Otte & Peck,7
1998,Blattodea,Roth & Guttierrez,1
1998,Orthoptera,"Gelabert, Hierro & Otte",10
1998,Orthoptera,"Perez, Hierro & Otte",1
1998,Orthoptera,"Perez, Hierro, Dominici & Otte",4
1998,Orthoptera,"Perez-Gelabert, Hierro & Otte",2
1999,Blattodea,Gutierrrez,1
1999,Blattodea,Roth,1
1999,Lepidoptera,Wright & Pavulaan,1
2002,Orthoptera,Otte,2
2002,Orthoptera,Otte & Cohn,5
2003,Coleoptera,Smith,1
2003,Diplura,Allen,2
2003,Orthoptera,Cigliano & Otte,13
2005,Diplura,Allen,1
2005,Diplura,Allen & Rosenberg,2
2005,Lepidoptera,Pavulaan & Wright,1
2006,Diplura,Allen,4
2006,Ephemeroptera,Funk,1
